United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses",Murder and Nonnegligent Manslaughter,"Negligent
Manslaughter","Justifiable
Homicide","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With An
Object",Fondling,"Sex
Offenses,
Nonforcible",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit Card/
Automated
Teller
Machine Fraud","Imperson-
ation","Welfare
Fraud","Wire
Fraud","Larceny-
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin-
operated
Machine","Theft
From
Motor
Vehicle","Theft of
Motor
Vehicle
Parts or
Accessories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses ","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Porno-
graphy/
Obscene
Material","Prost-
itution
Offenses","Prost-
itution","Assisting
or Pro-
moting
Prost-
itution","Weapon
Law
Violations"
,,North Reading,"15,182",54,9,29,16,,,,,,2,1,1,,,,,,,,40,3,62,3,,39,23,6,10,,,101,2,2,20,14,,11,,52,6,5,6,32,32,,,,,,,,,,,
,,Norton,"19,222",8,7,1,,,,,,,1,1,,,,,,,,,70,,65,8,,12,,12,,,,55,,,1,4,,3,3,44,4,1,,,,,,,,,,,,,,
,,Norwell,"10,656",40,7,26,7,,,,,,,,,,,,,,,,27,5,34,,1,18,5,4,9,,,77,,,9,8,,2,,58,4,2,1,5,5,,,,,,,,,,,2
,,Norwood,"29,057",276,16,206,54,,,,,,11,5,,,6,2,,2,3,,83,18,304,10,1,124,51,51,22,,,395,,,78,132,,87,41,57,37,7,9,112,112,,1,,1,,,3,,,,6
,,Oak Bluffs,"4,631",88,12,68,8,,,,,1,,,,,,1,,1,,,23,3,47,,1,6,6,,,,,125,1,,19,5,,,,100,8,2,,17,17,,,,,,,1,,,,3
,,Oakham,"1,926",11,1,2,8,,,,,,,,,,,1,,1,,,11,,5,,,9,7,,1,,1,9,,,,2,,,,7,1,,,2,2,,,,,,,,,,,
,,Orleans,"5,939",54,17,32,5,,,,,,1,,1,,,,,,,,38,8,56,,,19,14,4,1,,,141,2,5,13,8,,,,113,2,,10,17,17,,,,,,,1,,,,5
,,Oxford,"13,880",128,32,69,27,1,1,,,1,8,4,,,4,,,,3,,44,7,104,,,116,99,10,7,,,176,,1,55,6,,5,2,107,11,11,5,18,18,,,,,,,3,1,1,,5
,,Palmer,"12,257",238,40,162,36,,,,,2,10,4,1,,5,2,,2,3,,116,10,98,1,1,29,12,7,10,,,135,,,10,13,,20,4,88,18,3,10,45,44,1,,,,,,,,,,10
,,Paxton,"4,864",17,2,13,2,,,,,,1,1,,,,,,,,,16,2,17,,,6,1,4,,,1,20,,,,1,,2,,17,1,,1,5,5,,,,,,,,,,,
,,Peabody,"52,113",467,99,285,83,,,,,,21,11,1,,9,3,,3,3,,156,26,594,3,,206,88,43,75,,,929,4,2,186,28,,143,1,565,56,12,40,71,70,1,4,,4,,,2,1,,1,10
,,Pepperell,"11,719",142,14,82,46,,,,,,2,1,1,,,5,,5,,,50,4,135,,,39,23,8,8,,,137,,,5,23,,60,1,48,7,3,6,8,8,,1,,1,,,,,,,
,,Pittsfield,"44,868",896,119,675,102,,,,,2,61,35,8,,18,22,5,17,5,,378,59,437,11,,115,73,9,33,,,781,19,18,132,121,,115,3,373,45,38,40,73,73,,1,,1,,,7,,,,37
,,Plainville,"8,396",41,6,29,6,,,,,,2,2,,,,1,,1,,,26,6,41,2,,16,1,15,,,,125,,,32,21,,25,4,43,4,3,4,10,10,,,,,,,,,,,
,,Plympton,"2,862",21,2,10,9,,,,,,2,,1,,1,,,,2,,34,3,31,1,,6,4,1,1,,,48,,,,5,,15,,28,1,,1,3,3,,,,,,,,1,1,,
,,Princeton,"3,454",14,1,6,7,,,,,,,,,,,,,,,,28,,36,,,2,1,,1,,,20,,,,5,,6,,9,1,,,,,,,,,,,,,,,
,,Provincetown,"2,966",93,27,58,8,,,,,3,3,1,2,,,2,,2,,,13,2,34,1,,18,14,2,2,,,106,2,2,13,28,,2,,59,,,2,7,7,,,,,,,,,,,2
,,Quincy,"93,736",795,288,371,136,3,,3,,7,51,32,,,19,1,,1,13,,499,67,297,5,,233,79,66,80,,8,"1,073",29,,105,134,,284,33,488,119,84,1,201,201,,2,,2,,,3,1,1,,27
,,Randolph,"32,624",356,98,201,57,1,1,,,2,15,8,1,,6,1,,1,4,,152,21,232,,1,41,9,28,1,,3,380,,1,69,25,,70,11,204,25,18,,117,84,33,,,,,,,,,,13
,,Raynham,"13,518",93,13,70,10,,,,,,2,2,,,,,,,,,48,32,48,,1,41,29,7,5,,,316,5,,72,4,,29,1,205,19,5,,30,30,,,,,,,1,,,,3
,,Reading,"25,223",41,4,23,14,,,,,1,,,,,,,,,,,44,3,87,1,,71,28,36,,,7,140,,1,18,63,2,33,4,19,9,6,,11,8,3,,,,,,1,,,,1
,,Rehoboth,"11,724",77,13,45,19,,,,,,1,1,,,,2,,2,1,1,46,3,133,1,1,23,12,3,8,,,157,,,5,19,,36,,97,5,,4,15,15,,,,,,,1,,,,4
,,Revere,"52,926",745,187,363,195,1,1,,,13,25,12,8,,5,10,,10,2,,207,28,639,7,,191,64,64,63,,,887,10,21,164,98,,144,20,430,174,73,20,90,85,5,,,,,,3,3,1,2,32
,,Rochester,"5,308",38,5,22,11,,,,,,,,,,,,,,,,23,1,37,,,10,7,1,2,,,43,,1,2,13,,5,,22,2,1,4,5,5,,,,,,,1,,,,2
,,Rockport,"7,068",23,3,17,3,,,,,,,,,,,3,,3,,,2,1,6,,,2,2,,,,,13,1,,,6,,,,6,1,,1,4,4,,,,,,,,,,,1
,,Rowley,"5,955",26,4,17,5,,,,,,,,,,,,,,,,7,1,7,,1,1,1,,,,,9,,,2,1,,,,6,1,,,2,2,,,,,,,1,,,,5
,,Rutland,"8,073",66,13,37,16,,,,,,6,6,,,,8,,8,,,33,4,52,3,1,21,8,7,6,,,29,,,,1,,1,,27,2,,3,20,20,,,,,,,4,1,1,,2
,,Salisbury,"8,422",210,30,111,69,,,,,,8,5,3,,,4,,4,,,48,5,96,6,,41,30,7,4,,,181,2,2,16,34,,27,,100,12,1,6,39,38,1,,,,,,1,4,3,1,6
,,Sandwich,"20,848",151,31,85,35,,,,,,8,5,2,,1,4,1,3,1,,116,9,146,3,,32,24,,8,,,208,1,,15,56,,39,,97,8,3,11,47,47,,,,,,,1,,,,6
,,Saugus,"27,075",197,58,110,29,2,2,,,1,7,5,,,2,3,,3,1,,114,22,314,4,2,197,82,53,62,,,735,6,2,214,36,,106,1,370,41,25,18,54,54,,,,,,,3,3,2,1,9
,,Scituate,"18,395",106,20,52,34,,,,,,2,2,,,,1,,1,6,,34,5,137,,1,38,15,7,16,,,182,2,2,18,42,,44,,74,5,1,7,26,25,1,,,,,,3,,,,6
,,Seekonk,"13,862",90,24,42,24,,,,,,5,4,1,,,7,1,6,3,,54,13,126,1,1,47,18,20,9,,,343,1,2,67,18,,9,1,245,21,6,14,21,21,,,,,,,3,2,2,,6
,,Sharon,"17,892",16,13,2,1,,,,,,1,,,1,,,,,,,43,1,57,,,5,,4,,,1,70,,,1,2,,19,3,45,3,2,1,18,12,6,,,,,,,,,,
,,Shelburne,"1,915",8,1,5,2,,,,,,,,,,,,,,,,6,,5,,,2,2,,,,,11,,,1,4,,,,6,,,1,,,,,,,,,,,,,
,,Sherborn,"4,199",19,2,15,2,,,,,,,,,,,,,,,,9,1,22,,,6,4,,2,,,21,,,,3,,3,,15,1,,1,6,6,,,,,,,,,,,
,,Shirley,"7,337",44,15,26,3,,,,,2,3,3,,,,1,,1,1,,23,1,24,1,,4,1,1,2,,,18,,,,3,,3,,12,1,,2,10,10,,,,,,,,,,,3
,,Shrewsbury,"36,048",87,3,84,,1,1,,,,,,,,,,,,1,,75,1,52,1,,6,1,5,,,,186,1,,36,24,,24,,101,13,2,,11,10,1,,,,,,,,,,
,,Somerset,"18,349",226,28,131,67,,,,,,3,1,,,2,5,,5,2,,69,12,121,7,,62,35,5,22,,,249,1,,22,63,,41,,122,14,6,8,31,31,,,,,,,4,,,,9
,,Somerville,"77,200",486,167,243,76,,,,,6,61,23,2,,36,12,1,11,3,,349,17,397,2,,128,127,1,,,,"1,270",18,,54,68,,470,1,659,133,84,,90,90,,1,,1,,,3,9,9,,50
,,Southampton,"5,832",22,2,17,3,,,,,,1,1,,,,1,,1,,,16,5,41,1,,4,2,1,,,1,62,1,,16,9,,13,,23,2,,3,11,11,,,,,,,1,,,,2
,,Southborough,"9,887",6,3,,3,,,,,,,,,,,1,,1,,,32,,9,,,13,,7,1,,5,37,,,,13,,10,,14,,,1,,,,,,,,,,,,,1
,,Southbridge,"16,924",239,51,157,31,,,,,3,12,2,2,,8,18,2,16,5,,181,18,212,2,,40,17,4,19,,,241,3,3,18,46,,,,171,12,13,9,50,50,,,,,,,1,,,,12
,,South Hadley,"17,642",197,30,113,54,1,1,,,1,12,10,1,,1,10,4,6,2,,91,12,163,3,,54,23,11,20,,,303,,1,38,29,,80,,155,11,2,8,38,38,,,,,,,2,,,,5
,,Southwick,"9,594",118,14,78,26,,,,,,1,1,,,,,,,,,56,4,134,2,1,23,12,3,8,,,88,1,1,4,7,,1,,74,9,,2,10,10,,,,,,,1,,,,2
,,Spencer,"11,832",93,19,67,7,1,1,,,,5,3,,,2,1,,1,2,,49,1,80,1,,32,4,24,2,,2,169,,2,16,31,2,13,2,103,6,,,36,25,11,,,,,,1,,,,1
,,Springfield,"154,518","6,691","1,040","3,785","1,866",11,11,,,82,200,39,69,,92,12,,12,68,2,"2,346",151,"2,617",28,6,772,273,37,462,,,"4,978",19,21,204,438,,"1,017",28,"3,251",779,545,100,582,581,1,1,,1,,,10,91,90,1,278
,,Sterling,"7,904",53,14,25,14,,,,,,2,,,,2,1,,1,1,,31,4,55,,,13,4,3,6,,,60,,1,1,16,,10,,32,2,,2,7,7,,,,,,,1,,,,1
,,Stockbridge,"1,953",12,5,2,5,,,,,,1,1,,,,,,,,,23,,13,,,4,3,,1,,,30,,,1,8,,,,21,2,,1,1,1,,,,,,,,,,,1
,,Stoneham,"21,852",50,19,12,19,,,,,2,2,1,1,,,,,,,,111,18,83,,,13,12,,1,,,158,7,,18,7,,1,,125,10,9,,21,21,,,,,,,,,,,6
,,Stoughton,"27,392",364,71,181,112,,,,,1,17,2,3,6,6,5,,5,4,,101,24,241,6,1,72,49,22,1,,,513,5,3,84,71,,118,2,230,45,16,19,71,70,1,,,,,,,,,,17
,,Stow,"6,717",18,2,13,3,,,,,,,,,,,1,1,,,,26,3,29,9,,13,4,4,5,,,33,,,,9,,1,,23,4,,3,7,7,,,,,,,1,,,,1
,,Sturbridge,"9,383",159,25,94,40,,,,,1,6,1,4,,1,5,1,4,,,30,12,97,,,27,21,2,4,,,159,,1,16,23,,16,,103,10,3,4,58,58,,,,,,,4,,,,8
,,Sudbury,"18,002",24,1,21,2,,,,,,,,,,,,,,,,24,,14,1,,8,1,6,,,1,50,,,,17,,14,,19,1,,,5,5,,,,,,,,1,1,,
,,Sutton,"9,075",56,8,36,12,,,,,,3,1,1,,1,1,,1,,,53,9,45,,,21,8,5,8,,,56,,,1,27,,,,28,9,1,11,26,26,,,,,,,,,,,4
,,Swansea,"16,025",198,29,108,61,,,,,3,7,7,,,,4,1,3,3,,90,9,119,,,66,38,14,14,,,297,1,3,64,53,,32,2,142,19,6,11,33,29,4,,,,,,2,,,,5
,,Taunton,"56,438",575,192,342,41,2,,2,,16,18,18,,,,6,,6,2,,380,30,195,,1,59,55,4,,,,499,9,,84,47,,13,3,343,33,63,,122,122,,,,,,,5,6,6,,32
,,Templeton,"8,111",50,9,36,5,,,,,,1,1,,,,3,,3,,,29,4,61,,,6,4,1,1,,,43,2,,,16,,5,,20,5,1,3,19,19,,,,,,,2,,,,4
,,Tewksbury,"29,518",311,75,179,57,,,,,5,22,18,,,4,2,,2,1,,105,18,195,1,2,104,58,29,17,,,469,2,1,76,59,,97,1,233,32,9,25,63,63,,,,,,,4,8,7,1,12
,,Tisbury,"4,040",44,6,30,8,,,,,,,,,,,2,,2,2,,12,3,34,,,7,7,,,,,94,1,,14,7,,2,,70,11,1,,13,13,,,,,,,2,,,,1
,,Truro,"2,020",33,4,21,8,,,,,1,1,,1,,,1,,1,,,10,4,19,,,7,4,2,1,,,32,,1,,7,,4,,20,1,,1,7,7,,,,,,,,,,,2
,,Upton,"7,636",32,6,19,7,,,,,,3,2,,1,,1,,1,,,21,1,46,,,21,11,4,6,,,61,,,3,12,,8,,38,1,,1,8,8,,,,,,,,,,,
,,Uxbridge,"13,623",91,14,56,21,,,,,,6,4,,,2,2,,2,1,,52,4,71,,,27,16,9,2,,,97,,,12,79,,,1,5,9,1,5,30,30,,,,,,,,,,,7
,,Wakefield,"25,415",140,56,58,26,,,,,1,6,3,1,,2,6,1,5,,,72,12,152,1,,98,43,32,23,,,258,,1,6,63,,46,,142,16,8,4,86,86,,,,,,,2,3,2,1,5
,,Wales,"1,855",2,1,1,,,,,,,,,,,,1,,1,,,,,6,,,4,4,,,,,5,,,,1,,,,4,,,,3,3,,,,,,,,,,,
,,Walpole,"24,450",134,6,14,114,,,,,,7,6,,,1,,,,,,37,11,110,,,55,19,36,,,,326,,,108,1,,,,217,11,1,1,27,27,,,,,,,,,,,1
,,Waltham,"61,725",612,112,416,84,,,,,4,13,12,1,,,4,,4,1,,192,25,325,1,,80,76,4,,,,647,11,,69,9,,133,1,424,50,24,,71,71,,,,,,,1,,,,18
,,Ware,"9,942",160,36,117,7,,,,,1,3,3,,,,1,,1,6,,47,10,72,,,16,6,2,8,,,158,2,2,38,35,,2,,79,3,2,9,49,49,,,,,,,,,,,3
,,Wareham,"22,136",430,111,246,73,1,1,,,5,24,15,6,,3,12,,12,6,,243,30,334,7,,101,75,14,12,,,648,6,15,103,132,,32,2,358,23,27,61,94,93,1,,,,,,1,2,2,,21
,,Watertown,"32,535",237,47,134,56,,,,,1,8,3,,,5,1,,1,,,66,13,148,2,,87,40,26,21,,,456,7,3,92,89,,86,17,162,20,6,6,28,28,,,,,,,,1,1,,4
,,Wayland,"13,248",8,7,,1,,,,,,,,,,,,,,,,17,2,6,,,,,,,,,29,,,2,,1,26,,,5,1,,9,9,,,,,,,,,,,1
,,Webster,"16,974",313,83,200,30,,,,,1,13,6,2,,5,3,,3,4,,113,16,202,10,,92,50,12,30,,,463,6,4,135,111,,58,,149,26,23,19,39,39,,,,,,,3,,,,19
,,Wellesley,"28,402",55,10,32,13,,,,,1,7,1,2,,4,,,,,,46,18,80,,,61,16,14,31,,,182,,2,20,28,,22,,110,5,1,8,34,34,,,,,,,,,,,2
,,Wellfleet,"2,772",26,5,14,7,,,,,,,,,,,,,,1,,19,4,27,1,,2,1,,1,,,32,,,1,9,,2,,20,2,1,,2,2,,,,,,,,,,,2
,,Wenham,"4,948",22,3,10,9,,,,,,,,,,,1,,1,,,4,2,14,,,6,4,,1,,1,27,,,,5,,4,,18,2,,2,8,8,,,,,,,,,,,1
,,Westborough,"18,496",79,10,40,29,,,,,,7,5,1,,1,,,,1,,43,15,92,1,,65,30,17,18,,,159,,,21,16,,11,3,108,10,3,9,20,20,,,,,,,,2,2,,2
,,West Boylston,"7,759",31,5,13,13,,,,,,6,,,3,3,,,,1,,25,,44,1,,21,3,15,2,,1,76,1,,30,3,,8,1,33,1,1,,18,10,8,,,,,,,,,,
,,West Bridgewater,"7,016",55,7,38,10,,,,,,3,,3,,,,,,1,,32,8,50,,,37,30,2,5,,,112,1,1,10,10,,27,,63,8,2,3,21,21,,,,,,,,,,,4
,,Westfield,"41,485",404,54,257,93,,,,,1,12,8,2,,2,,,,2,,203,28,240,2,,166,103,22,39,,2,563,1,5,55,206,,124,29,143,19,14,28,70,67,3,,,,,,4,,,,10
,,Westford,"22,378",58,8,31,19,,,,,,2,2,,,,1,1,,1,1,32,5,103,1,,40,23,6,11,,,123,2,1,4,21,,16,,79,7,1,7,47,47,,,,,,,1,,,,4
,,Westminster,"7,367",40,8,28,4,,,,,,1,,,,1,4,,4,,,16,7,39,,,17,6,4,7,,,125,,1,5,12,,1,2,104,,2,2,9,9,,,,,,,1,,,,2
,,West Newbury,"4,306",27,11,8,8,,,,,,,,,,,,,,1,,5,2,8,,,11,4,3,4,,,19,,,,6,,2,,11,1,,1,10,10,,,,,,,,,,,3
,,Weston,"11,472",12,1,2,9,,,,,,1,,,,1,2,,2,,,15,4,16,,,12,5,4,3,,,34,,,,8,,1,,25,2,,2,10,10,,,,,,,2,,,,1
,,Westport,"15,688",90,16,44,30,1,1,,,,2,2,,,,8,2,6,,,130,6,99,3,,20,13,,7,,,128,,,3,21,,1,,103,14,1,18,29,29,,,,,,,6,,,,5
,,West Springfield,"28,663",470,114,292,64,,,,,5,26,16,3,,7,6,,6,7,,270,29,384,7,1,132,72,15,44,,1,"1,102",14,11,252,125,,161,6,533,109,33,40,172,172,,,,,,,6,6,4,2,9
,,West Tisbury,"2,803",29,2,21,6,,,,,,,,,,,,,,,,4,,9,,,7,7,,,,,13,,,,1,,,,12,,,,2,2,,,,,,,,,,,1
,,Westwood,"14,852",89,20,51,18,,,,,3,11,5,1,,5,,,,,1,36,10,59,1,,52,21,10,20,,1,99,1,,6,20,,16,1,55,5,2,2,19,19,,1,,1,,,,,,,1
,,Weymouth,"54,597",495,141,310,44,,,,,2,27,10,8,,9,2,,2,9,,211,33,396,10,,101,52,14,34,,1,602,6,13,89,121,,126,4,243,45,42,42,175,174,1,,,,,,2,2,,2,11
,,Whately,"1,514",2,,2,,,,,,,,,,,,,,,,,5,,9,,,3,1,1,1,,,20,,,,3,,2,,15,,,,,,,,,,,,,,,,2
,,Whitman,"14,699",172,34,115,23,,,,,,5,2,2,,1,1,,1,,,33,9,119,,,23,19,4,,,,161,,2,13,24,,28,,94,11,7,8,51,51,,,,,,,,,,,5
,,Wilbraham,"14,356",97,19,37,41,,,,,1,8,2,,,6,5,,5,2,,70,7,91,8,,32,13,6,13,,,195,1,1,22,39,,37,,95,23,4,6,50,50,,,,,,,,,,,2
,,Williamsburg,"2,499",9,2,4,3,,,,,,,,,,,1,,1,,,11,2,12,1,,11,6,2,3,,,20,,,2,1,,,,17,1,,,19,19,,,,,,,,,,,
,,Wilmington,"22,758",124,23,67,34,,,,,,3,2,,,1,1,,1,3,,58,3,159,4,,47,23,16,8,,,219,,1,23,36,,8,,151,4,3,10,32,30,2,,,,,,3,,,,8
,,Winchendon,"10,427",173,29,110,34,,,,,,8,4,1,,3,11,3,8,,,24,10,128,,,36,17,5,14,,,268,,,10,94,,39,1,124,11,1,8,27,27,,,,,,,4,,,,7
,,Winchester,"21,786",18,8,9,1,,,,,,2,1,,,1,,,,1,,40,,48,,,,,,,,,154,,,2,26,,40,4,82,8,3,,21,21,,,,,,,,,,,
,,Winthrop,"17,895",141,31,79,31,,,,,,3,2,,,1,2,,2,2,,42,4,94,1,,17,9,3,5,,,132,3,3,15,39,,7,1,64,19,6,9,26,26,,,,,,,,,,,2
,,Woburn,"38,863",292,75,198,19,,,,,1,5,5,,,,8,,8,,,105,22,341,3,,139,47,58,34,,,586,4,4,98,86,,89,5,300,21,19,18,63,63,,1,,,1,,4,15,15,,7
,,Worcester,"183,247","3,660","1,300","1,837",523,8,8,,,42,72,33,4,,35,4,,4,6,,"2,087",134,"2,074",41,3,747,107,399,235,,6,"4,111",,1,668,24,1,"1,197",528,"1,692",478,419,80,510,510,,,,,,,5,63,63,,149
,,Wrentham,"11,125",7,5,,2,,,,,,,,,,,,,,,,8,,11,,,,,,,,,71,,,14,,,,,57,5,1,3,16,16,,,,,,,1,,,,
,,Yarmouth,"23,991",466,136,255,75,,,,,2,13,6,3,,4,16,,16,7,,289,15,388,10,,121,51,29,41,,,506,8,4,35,88,,89,,282,19,6,10,113,113,,1,,1,,,1,1,1,,17
,Universities and Colleges,Boston University,"32,439",76,10,35,31,,,,,1,12,4,,,8,,,,1,,44,2,64,,,15,13,,2,,,310,1,,8,44,1,16,,240,1,7,,49,48,1,,,,,,,,,,4
,,Bridgewater State University,"11,294",34,4,10,20,,,,,,,,,,,,,,,,5,3,27,1,,3,2,,1,,,55,1,,,33,,2,2,17,,,2,6,6,,,,,,,,,,,4
,,Massachusetts College of Liberal Arts,"1,886",11,4,6,1,,,,,,1,,,,1,,,,,,12,,26,,,1,1,,,,,23,,,1,2,,1,,19,,,,14,12,2,,,,,,,,,,1
,,Massachusetts Institute of Technology,"10,894",22,5,12,5,,,,,,1,1,,,,,,,,,10,1,31,,,12,12,,,,,364,,,1,99,,7,2,255,1,,,,,,,,,,,,,,,2
,,Mount Holyoke College,"2,362",4,,4,,,,,,,,,,,,,,,,,19,,21,1,,5,4,,1,,,102,,,,31,,,,71,,,2,7,5,2,,,,,,,,,,1
,,Smith College,"3,162",4,,,4,,,,,,1,,,,1,,,,,,7,,23,,,,,,,,,69,,1,,18,,,,50,,,,4,4,,,,,,,,,,,
,,"Tufts University, Worcester3",,2,,1,1,,,,,,1,,,,1,,,,,,4,1,,,,,,,,,,17,,,,11,,,,6,,1,,,,,,,,,,,,,,
,,"University of Massachusetts, Amherst","28,084",63,7,45,11,,,,,1,9,8,,,1,,,,,,49,4,140,,,18,14,3,1,,,291,1,1,2,60,,11,,216,2,,3,30,29,1,,,,,,,,,,4
,,Westfield State University,"6,092",36,1,29,6,,,,,,7,7,,,,,,,2,,8,2,50,2,,4,4,,,,,35,,,,11,,1,,23,,,,41,41,,,,,,,,,,,1
,,Worcester Polytechnic Institute,"5,778",4,1,2,1,,,,,,,,,,,,,,,,2,,26,,,,,,,,,41,,,,10,,1,,30,,1,1,1,,1,,,,,,,,,,
,Other Agencies,"Division of Law Enforcement, Environmental Police",,10,7,1,2,1,,1,,,,,,,,,,,1,,2,1,11,,,,,,,,,9,,,,2,,,,7,2,,7,11,11,,,,,,,,,,,8
MICHIGAN,Cities,Allegan,"4,994",114,9,94,11,,,,,1,16,6,1,,9,,,,,,17,3,34,2,,6,1,5,,,,122,2,1,12,6,,50,,51,3,,5,25,25,,,,,,,,,,,4
,,Allen Park,"27,941",133,23,107,3,2,2,,,1,12,4,1,2,5,,,,1,,139,3,105,15,,106,17,58,26,2,3,504,2,4,161,40,2,154,21,120,74,16,9,158,138,20,,,,,,2,,,,13
,,Alma,"9,319",126,11,103,12,,,,,,24,8,7,2,7,,,,2,,32,4,64,4,,33,17,9,4,1,2,176,,,17,37,1,27,1,93,4,1,3,47,45,2,,,,,,,,,,2
,,Almont,"2,669",27,3,16,8,,,,,,3,1,1,,1,,,,,,17,,31,,,10,3,2,5,,,37,,,,6,,12,1,18,5,,,20,20,,,,,,,,,,,2
,,Ann Arbor,"115,008",869,141,535,193,1,1,,,6,76,36,5,3,32,,,,23,,716,37,682,39,1,308,174,68,61,,5,"1,915",11,4,356,330,2,424,62,726,118,50,32,242,229,13,,,,,,2,20,15,5,16
,,Argentine Township,"6,857",11,1,7,3,,,,,,,,,,,,,,,,18,,10,,,1,,,1,,,12,,,,1,,2,1,8,1,,,10,8,2,,,,,,,,,,2
,,Armada,"1,734",4,,4,,,,,,,,,,,,,,,,,1,2,12,,,3,,3,,,,5,,,,3,,2,,,2,,,8,8,,,,,,,1,,,,1
,,Auburn Hills,"21,559",394,24,270,100,,,,,2,22,8,5,,9,,,,2,,90,20,125,32,,155,37,66,49,,3,709,,,257,172,2,113,61,104,29,13,21,220,151,69,,,,,,,2,2,,24
,,Augusta,892,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,4,,1,1,,,,,,,,,,,,,,,1
,,Bad Axe,"3,092",55,3,35,17,,,,,,5,5,,,,,,,,,7,3,50,4,,63,56,2,5,,,120,,,49,6,,9,,56,2,,6,46,41,5,,,,,,2,,,,2
,,Bancroft,538,2,,2,,,,,,,,,,,,,,,,,1,,2,,,1,1,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,
,,Bangor,"1,882",75,9,64,2,,,,,,5,1,3,1,,,,,3,,5,,32,1,,5,,4,1,,,70,,,19,9,,7,2,33,4,,1,31,30,1,,,,,,,,,,1
,,Baroda-Lake Township,"3,851",20,3,17,,,,,,,1,1,,,,,,,,,6,2,28,2,,7,3,4,,,,45,,,,4,,18,1,22,2,,2,60,60,,,,,,,,,,,7
,,Barry Township,"3,360",12,2,7,3,,,,,,2,,,,2,,,,,,7,,6,,,3,,2,,,1,14,,,2,2,,1,,9,,,,10,6,4,,,,,,,,,,1
,,Bath Township,"11,621",55,17,37,1,2,1,1,,1,1,1,,,,,,,7,,28,,25,,,18,1,10,5,,2,67,2,,5,17,,15,1,27,8,3,3,30,30,,,,,,,,,,,3
,,Bay City,"34,742",683,144,462,77,1,1,,,9,103,43,18,5,37,1,,1,10,,202,14,500,10,3,83,33,34,13,1,2,577,,2,25,52,1,154,11,332,38,29,16,204,202,2,,,,,,4,,,,40
,,Beaverton,"1,078",4,2,2,,,,,,,8,,1,,7,,,,,,8,1,11,,,3,3,,,,,12,,,1,2,,7,,2,,,1,21,13,8,,,,,,1,,,,3
,,Belding,"5,768",100,7,88,5,,,,,,12,4,,3,5,,,,3,,14,,54,,,13,5,6,2,,,124,,2,6,15,,9,,92,3,1,,21,20,1,,,,,,,1,1,,4
,,Bellaire,"1,076",4,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12,,1,1,4,,2,,4,,,,3,3,,,,,,,,,,,
,,Belleville,"3,954",88,9,47,32,,,,,1,4,,2,,2,,,,2,,32,6,39,,,20,11,4,5,,,72,,1,1,4,,7,1,58,3,1,3,77,55,22,,,,,,,,,,11
,,Benton Harbor,"10,054",780,168,511,101,2,1,1,,1,33,14,5,,14,,,,8,,399,6,411,1,1,81,13,15,49,,4,440,9,7,15,103,,69,9,228,29,53,11,104,104,,1,1,,,,1,3,3,,43
,,Berkley,"15,078",75,4,54,17,,,,,,6,2,,,4,,,,1,,25,6,50,2,,48,20,6,22,,,100,,,21,27,,11,6,35,9,3,5,104,64,40,,,,,,,,,,10
,,Berrien Springs-Oronoko,"9,206",70,11,53,6,,,,,2,8,5,1,,2,,,,1,,21,11,61,3,,43,18,19,5,,1,100,,,11,21,,16,8,44,4,,10,51,51,,,,,,,2,,,,8
,,Beverly Hills,"10,341",25,7,9,9,,,,,,,,,,,,,,,,22,1,27,4,,11,5,,6,,,81,,,7,22,,13,3,36,4,1,,23,16,7,,,,,,,,,,5
,,Big Rapids,"10,703",167,20,143,4,,,,,1,14,7,3,1,3,,,,1,,28,4,102,5,1,49,18,19,9,,3,215,1,,12,59,,46,1,96,5,,,31,31,,,,,,,1,1,1,,1
